"Date","Price","Open","High","Low","Change %"
"Apr 09, 2020","-0.342","-0.313","-0.292","-0.362","10.86%"
"Apr 08, 2020","-0.308","-0.365","-0.294","-0.377","-5.08%"
"Apr 07, 2020","-0.325","-0.428","-0.307","-0.428","-23.44%"
"Apr 06, 2020","-0.424","-0.440","-0.396","-0.440","-3.74%"
"Apr 03, 2020","-0.441","-0.441","-0.425","-0.460","1.61%"
"Apr 02, 2020","-0.434","-0.463","-0.410","-0.463","-6.26%"
"Apr 01, 2020","-0.463","-0.512","-0.454","-0.531","-3.84%"
"Mar 31, 2020","-0.481","-0.507","-0.457","-0.512","-2.92%"
"Mar 30, 2020","-0.496","-0.476","-0.472","-0.552","4.42%"
"Mar 27, 2020","-0.475","-0.394","-0.388","-0.502","29.08%"
"Mar 26, 2020","-0.368","-0.268","-0.268","-0.388","32.37%"
"Mar 25, 2020","-0.278","-0.342","-0.259","-0.355","-21.02%"
"Mar 24, 2020","-0.352","-0.367","-0.319","-0.381","-9.86%"
"Mar 23, 2020","-0.391","-0.340","-0.338","-0.410","19.79%"
"Mar 20, 2020","-0.326","-0.254","-0.236","-0.341","32.79%"
"Mar 19, 2020","-0.245","-0.375","-0.146","-0.387","6.74%"
"Mar 18, 2020","-0.230","-0.383","-0.200","-0.387","-46.76%"
"Mar 17, 2020","-0.432","-0.431","-0.373","-0.475","-6.29%"
"Mar 16, 2020","-0.461","-0.598","-0.449","-0.601","-15.88%"
"Mar 13, 2020","-0.548","-0.673","-0.539","-0.683","-26.24%"
"Mar 12, 2020","-0.743","-0.791","-0.709","-0.802","-0.40%"
"Mar 11, 2020","-0.746","-0.792","-0.734","-0.818","-6.87%"
"Mar 10, 2020","-0.801","-0.733","-0.703","-0.819","-6.21%"
"Mar 09, 2020","-0.854","-0.795","-0.795","-0.909","19.86%"
"Mar 07, 2020","-0.712","-0.712","-0.712","-0.712","-0.07%"
"Mar 06, 2020","-0.713","-0.706","-0.699","-0.746","4.39%"
"Mar 05, 2020","-0.683","-0.620","-0.610","-0.689","7.05%"
"Mar 04, 2020","-0.638","-0.643","-0.609","-0.648","1.75%"
"Mar 03, 2020","-0.627","-0.612","-0.569","-0.642","0.97%"
"Mar 02, 2020","-0.621","-0.619","-0.578","-0.667","2.14%"
"Feb 28, 2020","-0.608","-0.573","-0.569","-0.627","12.38%"
"Feb 27, 2020","-0.541","-0.518","-0.504","-0.567","6.92%"
"Feb 26, 2020","-0.506","-0.509","-0.472","-0.531","-0.78%"
"Feb 25, 2020","-0.510","-0.468","-0.465","-0.520","6.25%"
"Feb 24, 2020","-0.480","-0.466","-0.456","-0.500","12.15%"
"Feb 21, 2020","-0.428","-0.452","-0.427","-0.465","-3.39%"
"Feb 20, 2020","-0.443","-0.419","-0.410","-0.447","5.48%"
"Feb 19, 2020","-0.420","-0.403","-0.391","-0.423","3.45%"
"Feb 18, 2020","-0.406","-0.421","-0.391","-0.432","1.25%"
"Feb 17, 2020","-0.401","-0.391","-0.378","-0.407","0.00%"
"Feb 14, 2020","-0.401","-0.393","-0.379","-0.411","3.89%"
"Feb 13, 2020","-0.386","-0.399","-0.375","-0.414","2.93%"
"Feb 12, 2020","-0.375","-0.376","-0.355","-0.386","-4.34%"
"Feb 11, 2020","-0.392","-0.397","-0.380","-0.408","-4.62%"
"Feb 10, 2020","-0.411","-0.379","-0.377","-0.413","6.75%"
"Feb 07, 2020","-0.385","-0.369","-0.368","-0.400","4.90%"
"Feb 06, 2020","-0.367","-0.355","-0.339","-0.370","1.94%"
"Feb 05, 2020","-0.360","-0.406","-0.355","-0.416","-9.32%"
"Feb 04, 2020","-0.397","-0.427","-0.391","-0.434","-10.38%"
"Feb 03, 2020","-0.443","-0.431","-0.430","-0.447","2.07%"
"Jan 31, 2020","-0.434","-0.399","-0.397","-0.445","7.16%"
"Jan 30, 2020","-0.405","-0.395","-0.391","-0.413","7.14%"
"Jan 29, 2020","-0.378","-0.352","-0.350","-0.384","-0.26%"
"Jan 28, 2020","-0.379","-0.377","-0.376","-0.404","-1.56%"
"Jan 27, 2020","-0.385","-0.335","-0.333","-0.391","14.58%"
"Jan 24, 2020","-0.336","-0.299","-0.280","-0.337","9.80%"
"Jan 23, 2020","-0.306","-0.260","-0.258","-0.313","17.24%"
"Jan 22, 2020","-0.261","-0.238","-0.238","-0.274","5.67%"
"Jan 21, 2020","-0.247","-0.234","-0.208","-0.256","13.30%"
"Jan 20, 2020","-0.218","-0.214","-0.205","-0.222","1.87%"
"Jan 17, 2020","-0.214","-0.205","-0.201","-0.226","-0.93%"
"Jan 16, 2020","-0.216","-0.200","-0.195","-0.225","9.09%"
"Jan 15, 2020","-0.198","-0.171","-0.169","-0.223","-4.35%"
"Jan 14, 2020","-0.207","-0.191","-0.188","-0.215","6.15%"
"Jan 13, 2020","-0.195","-0.233","-0.190","-0.236","-17.02%"
"Jan 10, 2020","-0.235","-0.224","-0.201","-0.239","7.80%"
"Jan 09, 2020","-0.218","-0.233","-0.213","-0.246","-9.92%"
"Jan 08, 2020","-0.242","-0.296","-0.239","-0.299","-14.49%"
"Jan 07, 2020","-0.283","-0.280","-0.269","-0.297","-1.05%"
"Jan 06, 2020","-0.286","-0.293","-0.279","-0.311","2.14%"
"Jan 03, 2020","-0.280","-0.252","-0.248","-0.302","26.70%"
"Jan 02, 2020","-0.221","-0.180","-0.157","-0.239","18.18%"
"Dec 31, 2019","-0.187","-0.187","-0.187","-0.187","2.75%"
"Dec 30, 2019","-0.182","-0.251","-0.172","-0.252","-27.78%"
"Dec 27, 2019","-0.252","-0.259","-0.237","-0.259","2.86%"
"Dec 26, 2019","-0.245","-0.246","-0.245","-0.246","0.00%"
"Dec 25, 2019","-0.245","-0.246","-0.245","-0.246","0.20%"
"Dec 24, 2019","-0.244","-0.246","-0.244","-0.246","2.30%"
"Dec 23, 2019","-0.239","-0.256","-0.235","-0.272","-4.40%"
"Dec 20, 2019","-0.250","-0.236","-0.218","-0.253","6.84%"
"Dec 19, 2019","-0.234","-0.247","-0.208","-0.251","-5.65%"
"Dec 18, 2019","-0.248","-0.292","-0.237","-0.306","-15.36%"
"Dec 17, 2019","-0.293","-0.294","-0.276","-0.299","6.55%"
"Dec 16, 2019","-0.275","-0.284","-0.266","-0.308","-5.17%"
"Dec 13, 2019","-0.290","-0.221","-0.215","-0.297","7.81%"
"Dec 12, 2019","-0.269","-0.325","-0.259","-0.342","-16.46%"
"Dec 11, 2019","-0.322","-0.296","-0.293","-0.323","8.78%"
"Dec 10, 2019","-0.296","-0.305","-0.283","-0.311","-3.58%"
"Dec 09, 2019","-0.307","-0.289","-0.287","-0.322","6.97%"
"Dec 06, 2019","-0.287","-0.293","-0.272","-0.312","-3.37%"
"Dec 05, 2019","-0.297","-0.330","-0.276","-0.330","-5.11%"
"Dec 04, 2019","-0.313","-0.345","-0.313","-0.365","-10.06%"
"Dec 03, 2019","-0.348","-0.269","-0.260","-0.352","24.29%"
"Dec 02, 2019","-0.280","-0.323","-0.269","-0.323","-22.22%"
"Nov 29, 2019","-0.360","-0.363","-0.340","-0.374","0.00%"
"Nov 28, 2019","-0.360","-0.370","-0.356","-0.386","-3.23%"
"Nov 27, 2019","-0.372","-0.370","-0.355","-0.381","0.27%"
"Nov 26, 2019","-0.371","-0.352","-0.339","-0.379","6.30%"
"Nov 25, 2019","-0.349","-0.356","-0.343","-0.362","-2.79%"
"Nov 22, 2019","-0.359","-0.321","-0.303","-0.365","10.12%"
"Nov 21, 2019","-0.326","-0.355","-0.320","-0.361","-6.05%"
"Nov 20, 2019","-0.347","-0.363","-0.346","-0.384","2.36%"
"Nov 19, 2019","-0.339","-0.336","-0.323","-0.343","0.89%"
"Nov 18, 2019","-0.336","-0.336","-0.314","-0.352","0.30%"
"Nov 16, 2019","-0.335","-0.336","-0.335","-0.336","0.00%"
"Nov 15, 2019","-0.335","-0.325","-0.325","-0.348","-4.29%"
"Nov 14, 2019","-0.350","-0.303","-0.300","-0.353","17.45%"
"Nov 13, 2019","-0.298","-0.257","-0.253","-0.308","18.25%"
"Nov 12, 2019","-0.252","-0.236","-0.227","-0.256","3.28%"
"Nov 11, 2019","-0.244","-0.268","-0.241","-0.274","-8.79%"
"Nov 09, 2019","-0.268","-0.268","-0.268","-0.268","2.49%"
"Nov 08, 2019","-0.261","-0.254","-0.218","-0.270","11.54%"
"Nov 07, 2019","-0.234","-0.333","-0.232","-0.342","-29.94%"
"Nov 06, 2019","-0.334","-0.310","-0.295","-0.335","8.09%"
"Nov 05, 2019","-0.309","-0.339","-0.302","-0.345","-11.46%"
"Nov 04, 2019","-0.349","-0.377","-0.345","-0.377","-8.40%"
"Nov 01, 2019","-0.381","-0.407","-0.374","-0.417","-5.46%"
"Oct 31, 2019","-0.403","-0.373","-0.373","-0.421","13.52%"
"Oct 30, 2019","-0.355","-0.355","-0.337","-0.369","1.14%"
"Oct 29, 2019","-0.351","-0.332","-0.327","-0.359","6.04%"
"Oct 28, 2019","-0.331","-0.359","-0.320","-0.375","-9.07%"
"Oct 25, 2019","-0.364","-0.397","-0.357","-0.403","-10.34%"
"Oct 24, 2019","-0.406","-0.388","-0.360","-0.415","4.10%"
"Oct 23, 2019","-0.390","-0.387","-0.384","-0.414","6.27%"
"Oct 22, 2019","-0.367","-0.340","-0.336","-0.382","6.38%"
