date, value,
8/1/2007,293742.99,234619
9/1/2007,284214.53,227736
10/1/2007,285726.26,229499
11/1/2007,285646.22,230732
12/1/2007,301863.77,243635
1/1/2008,294298.61,238685
2/1/2008,288453.67,234706
3/1/2008,282764.12,231964
4/1/2008,277620.54,229249
5/1/2008,275037.41,229007
6/1/2008,271993.26,228758
7/1/2008,262993.91,222311
8/1/2008,256832.53,216189
9/1/2008,252754.05,212577
10/1/2008,231401.83,192514
11/1/2008,224645.4,183384
12/1/2008,215387.24,173980
1/1/2009,190255.3,154428
2/1/2009,180112.89,146911
3/1/2009,176384.73,144223
4/1/2009,176020.38,144279
5/1/2009,182481.85,149944
6/1/2009,175632.19,145632
7/1/2009,187889.9,155538
8/1/2009,189690.53,157289
9/1/2009,190798.5,158339
10/1/2009,196191.8,162950
11/1/2009,194271.27,161489
12/1/2009,193355.51,160461
1/1/2010,219443.12,182717
2/1/2010,213211.13,177528
3/1/2010,214452.37,179308
4/1/2010,220854.18,184970
5/1/2010,222068.6,186143
6/1/2010,223589.63,187261
7/1/2010,227417.6,190467
8/1/2010,227378.77,190754
9/1/2010,239368.37,200981
10/1/2010,232489.11,195369
11/1/2010,233281.8,196200
12/1/2010,231767.69,195255
1/1/2011,241038.17,203924
2/1/2011,230563.03,196057
3/1/2011,244655.83,210005
4/1/2011,233144.76,201508
5/1/2011,236146.18,204988
6/1/2011,231373.66,200671
7/1/2011,241944.19,210021
8/1/2011,245278.18,213471
9/1/2011,238751.49,208153
10/1/2011,240910.83,209670
11/1/2011,249570.7,217018
12/1/2011,261003.46,226369
1/1/2012,257178.4,224023
2/1/2012,258457.45,226122
3/1/2012,249995.97,220455
4/1/2012,246615.68,218051
5/1/2012,247312.57,218474
6/1/2012,247895.8,218603
7/1/2012,254097.07,223677
8/1/2012,229516.56,203112
9/1/2012,243318.38,216283
10/1/2012,244926,217712
11/1/2012,247402.2,218940
12/1/2012,260035.96,229511
1/1/2013,246782.96,218392
2/1/2013,257092.38,229342
3/1/2013,235331.17,210493
4/1/2013,247726.46,221382
5/1/2013,257668.44,230679
6/1/2013,268091.9,240657
7/1/2013,239508.89,214999
8/1/2013,247445.5,222323
9/1/2013,255945.51,230374
10/1/2013,250822.67,225155
11/1/2013,265859.4,238012
12/1/2013,257507.6,230535
1/1/2014,247976,223000
2/1/2014,255309.79,230424
3/1/2014,255779.92,232316
4/1/2014,258953.42,235841
5/1/2014,253553.1,231767
6/1/2014,257577.68,235877
7/1/2014,317360.32,290623
8/1/2014,259431.16,237140
9/1/2014,257464.89,235558
10/1/2014,253224.22,231044
11/1/2014,250814.1,227599
12/1/2014,249253.46,224958
1/1/2015,253831.89,228061
2/1/2015,243171.54,219271
3/1/2015,251305.59,228045
4/1/2015,248866.2,226242
5/1/2015,238327.9,217850
6/1/2015,250133.2,229480
7/1/2015,249420.34,228826
8/1/2015,246427.27,225666
9/1/2015,240734.7,220050
10/1/2015,247431.07,226171
11/1/2015,245588.39,224077
12/1/2015,243172.6,221066
1/1/2016,248585,226398
2/1/2016,239016.55,217882
3/1/2016,237100.12,216926
4/1/2016,245667.14,225797
5/1/2016,239181.63,220851
6/1/2016,225709.2,208990
7/1/2016,234293.78,216738
8/1/2016,238306.32,220654
9/1/2016,236875.41,219736
10/1/2016,249113.33,231303
11/1/2016,236700.77,219574
12/1/2016,241588.42,224108
1/1/2017,239108.53,223049
2/1/2017,237120.56,222023
3/1/2017,243545.95,228253
4/1/2017,242683.5,228086
5/1/2017,241514.66,227201
6/1/2017,258946.4,243829
7/1/2017,239163.31,224989
8/1/2017,243700.36,229906
9/1/2017,255930.17,242818
10/1/2017,248828.08,235856
11/1/2017,252119.68,238976
12/1/2017,259517.28,245755
1/1/2018,248186.4,236368
2/1/2018,259504.85,248330
3/1/2018,262518.93,251696
4/1/2018,258200.85,248509
5/1/2018,258902.23,250389
6/1/2018,258315.08,250063
7/1/2018,256079.67,247899
8/1/2018,266639.9,258372
9/1/2018,264349.43,256401
10/1/2018,252635.96,245516
11/1/2018,252747.12,244910
12/1/2018,259030.04,250029
1/1/2019,259008.73,250492
2/1/2019,249292.74,242267
3/1/2019,258052.1,252004
4/1/2019,244592.82,240268
5/1/2019,240507.52,236720
6/1/2019,240674.14,236884
7/1/2019,246241.79,242842
8/1/2019,247434.25,244018
9/1/2019,245096.98,241713
10/1/2019,244214.13,241557
11/1/2019,238059.84,235237
12/1/2019,244996.08,241852
1/1/2020,243589.75,241417
2/1/2020,247672.17,246195
3/1/2020,206660.16,205020
4/1/2020,170014.53,167502
5/1/2020,195494.08,192605
6/1/2020,209341.27,207474
7/1/2020,232841.66,231914
8/1/2020,233165.93,232933
9/1/2020,237786,237786
10/1/2020,240737.02,240978
