Date,Price,Open,High,Low,Change %
"Oct 15, 2007",4.681,4.681,4.681,4.681,-0.13%
"Oct 12, 2007",4.687,4.687,4.687,4.687,0.93%
"Oct 11, 2007",4.644,4.644,4.644,4.644,-0.24%
"Oct 10, 2007",4.655,4.655,4.655,4.655,0.02%
"Oct 09, 2007",4.654,4.654,4.654,4.654,0.04%
"Oct 08, 2007",4.652,4.652,4.652,4.652,0.22%
"Oct 05, 2007",4.6419999999999995,4.6419999999999995,4.6419999999999995,4.6419999999999995,2.79%
"Oct 04, 2007",4.516,4.516,4.516,4.516,-0.99%
"Oct 03, 2007",4.561,4.561,4.561,4.561,0.75%
"Oct 02, 2007",4.527,4.527,4.527,4.527,-0.48%
"Oct 01, 2007",4.5489999999999995,4.5489999999999995,4.5489999999999995,4.5489999999999995,-0.98%
"Sep 28, 2007",4.593999999999999,4.593999999999999,4.593999999999999,4.593999999999999,0.55%
"Sep 27, 2007",4.569,4.569,4.569,4.569,-1.23%
"Sep 26, 2007",4.626,4.626,4.626,4.626,-0.09%
"Sep 25, 2007",4.63,4.63,4.63,4.63,-0.17%
"Sep 24, 2007",4.638,4.638,4.638,4.638,0.22%
"Sep 21, 2007",4.628,4.628,4.628,4.628,-1.53%
"Sep 20, 2007",4.7,4.7,4.7,4.7,3.43%
"Sep 19, 2007",4.544,4.544,4.544,4.544,1.66%
"Sep 18, 2007",4.47,4.47,4.47,4.47,0.09%
"Sep 17, 2007",4.466,4.466,4.466,4.466,0.22%
"Sep 14, 2007",4.456,4.456,4.456,4.456,-0.22%
"Sep 13, 2007",4.466,4.466,4.466,4.466,1.13%
"Sep 12, 2007",4.416,4.416,4.416,4.416,0.96%
"Sep 11, 2007",4.374,4.374,4.374,4.374,1.20%
"Sep 10, 2007",4.322,4.322,4.322,4.322,-1.44%
"Sep 07, 2007",4.385,4.385,4.385,4.385,-2.97%
"Sep 06, 2007",4.519,4.519,4.519,4.519,1.21%
"Sep 05, 2007",4.465,4.465,4.465,4.465,-1.93%
"Sep 04, 2007",4.553,4.553,4.553,4.553,0.57%
"Aug 31, 2007",4.527,4.527,4.527,4.527,0.33%
"Aug 30, 2007",4.512,4.512,4.512,4.512,-1.16%
"Aug 29, 2007",4.565,4.565,4.565,4.565,1.31%
"Aug 28, 2007",4.506,4.506,4.506,4.506,-1.42%
"Aug 27, 2007",4.5710000000000015,4.5710000000000015,4.5710000000000015,4.5710000000000015,-0.93%
"Aug 24, 2007",4.614,4.614,4.614,4.614,-0.80%
"Aug 23, 2007",4.651,4.651,4.651,4.651,0.04%
"Aug 22, 2007",4.649,4.649,4.649,4.649,1.15%
"Aug 21, 2007",4.596,4.596,4.596,4.596,-0.73%
"Aug 20, 2007",4.63,4.63,4.63,4.63,-1.26%
