"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2020","23.63","22.40","25.00","22.35","61.40K","4.88%"
"Dec 10, 2020","22.52","22.45","23.25","21.81","56.15K","0.00%"
"Dec 09, 2020","22.52","21.40","22.78","20.88","75.87K","5.38%"
"Dec 08, 2020","21.38","22.80","22.96","21.35","40.70K","-4.89%"
"Dec 07, 2020","22.48","22.65","23.15","22.35","32.22K","0.00%"
"Dec 04, 2020","22.48","23.00","23.01","22.15","40.23K","-2.18%"
"Dec 03, 2020","22.98","22.80","23.31","22.30","37.11K","1.32%"
"Dec 02, 2020","22.67","22.65","23.05","22.20","41.08K","-0.66%"
"Dec 01, 2020","22.83","22.50","22.95","21.85","60.24K","2.01%"
"Nov 30, 2020","22.38","22.50","23.80","22.35","49.14K","-1.97%"
"Nov 27, 2020","22.83","22.70","23.06","22.25","27.59K","-0.67%"
"Nov 26, 2020","22.98","22.80","22.98","22.67","-","1.57%"
"Nov 25, 2020","22.63","23.60","23.95","22.60","39.21K","-4.13%"
"Nov 24, 2020","23.60","24.10","24.10","23.45","40.75K","-2.07%"
"Nov 23, 2020","24.10","24.75","24.75","23.70","37.12K","-1.13%"
"Nov 20, 2020","24.38","24.90","25.15","23.95","40.49K","-0.41%"
"Nov 19, 2020","24.48","24.95","25.20","24.09","45.47K","9.21%"
"Nov 18, 2020","22.41","23.10","23.60","21.60","2.31K","-2.46%"
"Nov 17, 2020","22.98","22.85","24.21","22.75","44.27K","0.22%"
"Nov 16, 2020","22.92","23.35","24.11","22.69","44.14K","-1.71%"
"Nov 13, 2020","23.33","25.90","26.50","23.25","49.98K","-9.86%"
"Nov 12, 2020","25.88","24.10","26.90","23.80","67.86K","8.60%"
"Nov 11, 2020","23.83","24.70","24.96","23.18","49.11K","-3.44%"
"Nov 10, 2020","24.67","25.20","26.15","24.07","76.30K","-3.52%"
"Nov 09, 2020","25.58","25.40","25.63","22.45","100.32K","0.39%"
"Nov 06, 2020","25.48","27.70","28.90","25.20","76.25K","-8.28%"
"Nov 05, 2020","27.77","28.60","29.00","27.14","54.07K","-2.11%"
"Nov 04, 2020","28.38","31.20","33.10","28.21","114.81K","-9.71%"
"Nov 03, 2020","31.42","33.15","33.20","30.99","58.47K","-5.84%"
"Nov 02, 2020","33.38","34.50","35.25","32.55","60.15K","-2.13%"
"Oct 30, 2020","34.10","34.45","36.50","33.33","78.92K","2.94%"
"Oct 29, 2020","33.13","35.70","36.15","32.16","83.90K","-7.99%"
"Oct 28, 2020","36.00","31.80","36.20","31.75","130.15K","14.92%"
"Oct 27, 2020","31.33","31.45","32.05","30.65","67.54K","0.00%"
"Oct 26, 2020","31.33","29.05","31.82","28.93","-","8.86%"
"Oct 23, 2020","28.77","28.80","29.32","28.44","35.53K","-0.17%"
"Oct 22, 2020","28.83","29.30","29.85","28.35","38.65K","-0.84%"
"Oct 21, 2020","29.07","29.20","30.30","28.60","0.88K","-0.70%"
"Oct 20, 2020","29.27","28.85","29.80","28.15","39.68K","0.34%"
"Oct 19, 2020","29.17","27.75","29.35","27.13","35.03K","4.66%"
"Oct 16, 2020","27.88","27.59","28.00","27.07","32.35K","1.09%"
